"","x"
"1","maroon"
"2","skyblue"
"3","turquoise"
"4","cyan"
"5","lightpink4"
"6","sienna3"
"7","black"
"8","tan"
"9","salmon2"
"10","lightcyan"
"11","yellow"
"12","yellow"
"13","thistle1"
"14","green"
"15","red"
"16","orange"
"17","darkseagreen4"
"18","greenyellow"
"19","grey60"
"20","lightpink3"
"21","skyblue3"
"22","lightyellow"
"23","white"
"24","black"
"25","turquoise"
"26","darkgrey"
"27","magenta"
"28","pink"
"29","turquoise"
"30","green"
"31","pink"
"32","white"
"33","lightgreen"
"34","pink"
"35","purple"
"36","grey60"
"37","navajowhite2"
"38","darkgreen"
"39","turquoise"
"40","purple"
"41","darkseagreen4"
"42","purple"
"43","blue2"
"44","violet"
"45","pink"
"46","mediumorchid"
"47","plum1"
"48","purple"
"49","yellow"
"50","green"
"51","turquoise"
"52","blue"
"53","darkolivegreen"
"54","saddlebrown"
"55","mediumpurple2"
"56","sienna3"
"57","plum"
"58","grey60"
"59","green"
"60","blue"
"61","darkmagenta"
"62","red"
"63","royalblue"
"64","grey60"
"65","purple"
"66","ivory"
"67","blue"
"68","cyan"
"69","orangered4"
"70","indianred4"
"71","yellow"
"72","yellow"
"73","purple"
"74","orangered3"
"75","black"
"76","magenta"
"77","magenta"
"78","antiquewhite4"
"79","tan"
"80","green"
"81","violet"
"82","green"
"83","mediumorchid"
"84","black"
"85","lightpink3"
"86","plum1"
"87","brown"
"88","thistle"
"89","plum2"
"90","tan"
"91","darkturquoise"
"92","tan"
"93","blue"
"94","brown4"
"95","lightgreen"
"96","blue"
"97","brown"
"98","red"
"99","darkgrey"
"100","darkmagenta"
"101","salmon2"
"102","turquoise"
"103","midnightblue"
"104","darkslateblue"
"105","salmon"
"106","blue"
"107","cyan"
"108","brown"
"109","pink4"
"110","green"
"111","skyblue3"
"112","skyblue4"
"113","thistle2"
"114","darkseagreen4"
"115","blue"
"116","coral1"
"117","palevioletred3"
"118","mediumpurple3"
"119","red"
"120","cyan"
"121","yellow"
"122","midnightblue"
