"","x"
"antiquewhite2","ENSMUSG00000053930"
"antiquewhite4","ENSMUSG00000028552"
"bisque4","ENSMUSG00000041362"
"black","ENSMUSG00000034891"
"blue","ENSMUSG00000082208"
"blue2","ENSMUSG00000016833"
"brown","ENSMUSG00000001918"
"brown2","ENSMUSG00000022096"
"brown4","ENSMUSG00000049176"
"coral","ENSMUSG00000028212"
"coral1","ENSMUSG00000059842"
"coral2","ENSMUSG00000028226"
"coral3","ENSMUSG00000049721"
"cyan","ENSMUSG00000001260"
"darkgreen","ENSMUSG00000047712"
"darkgrey","ENSMUSG00000048078"
"darkmagenta","ENSMUSG00000020585"
"darkolivegreen","ENSMUSG00000003464"
"darkolivegreen4","ENSMUSG00000024563"
"darkorange","ENSMUSG00000030209"
"darkorange2","ENSMUSG00000042834"
"darkred","ENSMUSG00000059878"
"darkseagreen3","ENSMUSG00000070697"
"darkseagreen4","ENSMUSG00000057230"
"darkslateblue","ENSMUSG00000031954"
"darkturquoise","ENSMUSG00000035863"
"darkviolet","ENSMUSG00000029246"
"firebrick4","ENSMUSG00000033047"
"floralwhite","ENSMUSG00000064441"
"green","ENSMUSG00000022338"
"greenyellow","ENSMUSG00000041231"
"grey60","ENSMUSG00000030701"
"honeydew","ENSMUSG00000091952"
"honeydew1","ENSMUSG00000046546"
"indianred4","ENSMUSG00000040710"
"ivory","ENSMUSG00000073125"
"lavenderblush2","ENSMUSG00000031913"
"lavenderblush3","ENSMUSG00000038375"
"lightcoral","ENSMUSG00000008683"
"lightcyan","ENSMUSG00000087153"
"lightcyan1","ENSMUSG00000042105"
"lightgreen","ENSMUSG00000024451"
"lightpink3","ENSMUSG00000092741"
"lightpink4","ENSMUSG00000006403"
"lightsteelblue","ENSMUSG00000004460"
"lightsteelblue1","ENSMUSG00000010529"
"lightyellow","ENSMUSG00000089199"
"magenta","ENSMUSG00000040158"
"magenta4","ENSMUSG00000044176"
"maroon","ENSMUSG00000097303"
"mediumorchid","ENSMUSG00000031816"
"mediumpurple2","ENSMUSG00000027905"
"mediumpurple3","ENSMUSG00000102697"
"mediumpurple4","ENSMUSG00000050192"
"midnightblue","ENSMUSG00000030545"
"navajowhite1","ENSMUSG00000047502"
"navajowhite2","ENSMUSG00000054409"
"orange","ENSMUSG00000019952"
"orangered3","ENSMUSG00000077380"
"orangered4","ENSMUSG00000022375"
"paleturquoise","ENSMUSG00000060477"
"palevioletred2","ENSMUSG00000009035"
"palevioletred3","ENSMUSG00000022722"
"pink","ENSMUSG00000024767"
"pink4","ENSMUSG00000085133"
"plum","ENSMUSG00000068615"
"plum1","ENSMUSG00000028394"
"plum2","ENSMUSG00000001891"
"plum3","ENSMUSG00000064451"
"purple","ENSMUSG00000051319"
"red","ENSMUSG00000035828"
"royalblue","ENSMUSG00000067722"
"saddlebrown","ENSMUSG00000021986"
"salmon","ENSMUSG00000064120"
"salmon2","ENSMUSG00000022421"
"salmon4","ENSMUSG00000045087"
"sienna3","ENSMUSG00000041975"
"sienna4","ENSMUSG00000031833"
"skyblue","ENSMUSG00000059995"
"skyblue1","ENSMUSG00000032854"
"skyblue2","ENSMUSG00000078684"
"skyblue3","ENSMUSG00000085263"
"skyblue4","ENSMUSG00000022412"
"steelblue","ENSMUSG00000032463"
"tan","ENSMUSG00000091509"
"thistle","ENSMUSG00000024661"
"thistle1","ENSMUSG00000035274"
"thistle2","ENSMUSG00000009394"
"thistle3","ENSMUSG00000076269"
"turquoise","ENSMUSG00000041187"
"violet","ENSMUSG00000031889"
"white","ENSMUSG00000036693"
"yellow","ENSMUSG00000035696"
"yellow3","ENSMUSG00000022687"
"yellow4","ENSMUSG00000026028"
"yellowgreen","ENSMUSG00000025702"
