"","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow4","MEyellowgreen"
"MEantiquewhite2",0,1.54750401498994,0.513414788812034,0.861262549564527,0.960847513704898,1.57046209823731,1.07869838270854,0.520961074630635,0.487279581453232,1.59035471783252,0.493104556251161,1.78278758252534,0.846115286093419,0.541824899454517,0.763189960707814,0.553648898958318,0.463542496205562,0.375608840220244,1.50179565231967,1.33047822833152,1.41136386489014,1.2737067824774,1.07971963505097,1.77707662777724,1.33865623855425,0.527006293475641,1.52105026388665,0.907335112439772,0.492971516481704,0.762685518478327,1.01771008170264,1.32229499451835,1.16984242180476,1.67664151036185,0.745377738914598,1.04329817248434,1.51981502094058,0.118389410550825,0.91693380032492,0.279545139789614,1.19275541644152,0.257721670032867,0.73876983311311,0.160962214214656,0.423666529451817,1.9075605332856,0.337669237485091,0.622760868799366,0.85626171508626,1.59764188201231,0.465969376477819,0.959214613150602,1.225287923146,1.41469158818064,1.06337079212477,1.51778617413877,1.37823267281652,0.83910037951163,1.27661845930031,0.560132975520477,1.12582955912169,1.19326626288469,0.104291766257995,0.88174433477825,1.82454375785367,1.33098539021735,0.31671477572136,1.73378075943533,0.75667996827333,0.598141560080518,0.649413586454119,0.342468250954076,1.06342004093858,1.76773771159504,1.4406337819819,1.19073037319365,1.28744790751141,1.30963059500321,1.58153928575077,0.608124921154718,1.56140826977124,0.943630913298166,1.33127427909574,1.58319628140365,0.35760221493611,1.29006408127453,0.966248543879238,0.265571776246273,1.22623259323986,0.65388651980294,0.912829269755096,1.49849372854725
"MEantiquewhite4",1.54750401498994,0,0.894198418032579,1.83812893766765,1.82777641220842,0.0285164557680392,1.76665996016139,0.576001584999661,1.45138064549496,1.16756872324948,1.17087986135065,0.636906382392773,1.62423684392578,1.82193915212745,1.83411162736221,1.67726064872704,0.733871428410975,0.923726130052664,0.743440791093231,0.0830123134188362,1.39182240084041,0.0658015487550472,1.53628602312424,0.349849670320986,0.197692688754066,0.575708826150775,1.14973380611039,0.364632363667283,1.02071899036897,1.92378120392695,0.178349162896959,0.551077411581047,0.0910397176087354,0.544837441318405,0.69750447609425,1.2547180251099,0.0969161537156303,1.30942109843054,0.82425610527418,1.13772917246837,1.67505908754689,1.38244022070152,0.43032190525879,1.07881368728146,1.87992098579778,0.210396832717494,1.69275021681035,0.575617370033996,1.88924251273151,0.325800409892246,1.30820765482603,0.435257231336223,1.2346838191912,1.13283263200705,0.142252542604357,0.261707108673123,0.495334295954849,0.327198859424124,0.77943690557096,1.5292052642085,0.165932051692977,0.178926286438764,1.80181055822377,0.249260584515564,0.801719281553095,1.36958338906087,1.20763011815044,0.161200268297966,0.343809496685259,1.88196889214237,0.447478845562384,1.80169471807527,1.72492803495883,0.991532841868426,1.46141595901763,1.57422688141867,1.56100279068734,0.369394657138323,0.479323710294243,0.719086190679864,1.31782968693524,0.228465381188361,0.0538900796634858,0.878258647221791,0.775761051993892,1.57151246121906,1.8195140326534,1.53553580157592,0.18756901028313,1.93393208797176,1.58399997718794,0.218753311460317
"MEbisque4",0.513414788812034,0.894198418032579,0,1.10705164907176,1.55318185383612,1.09825451379417,1.49723118358589,0.565393324977077,0.222670061708441,1.93346559508259,0.0577312270541401,1.87238723816114,0.685746361221254,0.673011554997381,0.939955761056052,0.481515483023189,0.0644360647387912,0.0244324179896157,1.90325257900339,1.003205922171,1.90880318670796,0.838688442251556,0.881339184809284,1.68601219785734,1.26021332554005,0.184943583759609,1.98559887438549,0.983588177833881,0.0117518121129992,1.25439664514378,0.6895414149995,0.952312187761495,0.668585302666508,1.83227271704544,1.23238413405642,1.87589230339162,1.23896173295837,0.167008776984432,0.134337261739906,0.0474150854856562,1.66942220621184,0.123025598755274,0.16265262597376,0.195707237474633,1.36422838195169,1.2400215866631,0.381033834502677,0.0831960549104805,1.40793969640064,1.62096977589482,0.116754770403817,0.13483250145101,0.702363008568165,1.99387673261797,0.516535585449187,0.546401513380525,1.66241229114865,0.240954165398991,1.81405699269883,0.329272361720897,0.906017358264436,0.351806203331509,0.550203357908364,0.515667216143164,1.85439738433897,1.95525736986984,0.0508410922190511,1.45117161497424,0.359784117913643,0.839744130502453,0.249628468998752,0.521354850798962,1.72294937045217,1.83455381166944,1.57492064540572,1.85827905731856,1.80910162677913,1.47601515616664,1.75818284441387,0.0166020801579245,1.77338226356241,0.360416813108809,0.578638333855118,1.97145093652376,0.149875501776034,1.35495420658389,1.29835884736116,0.219861442556829,1.11117919829987,1.0536994500611,1.81473383249585,1.4302935430433
"MEblack",0.861262549564527,1.83812893766765,1.10705164907176,0,0.131789387934567,1.87773179206204,0.0846423759485166,1.80088448443401,0.458131606974263,0.654377318594373,0.768750504768544,1.19723134902832,0.113160485993615,0.106979180017884,0.0141607146935924,0.206333877938144,1.40868364396449,1.19846798631954,1.32021553839181,1.97651952068145,0.498800100727309,1.97539615779831,0.103883316577389,1.51955788469998,1.92867323396176,1.62360865141568,0.774410604263129,1.94496054393864,0.953898703571754,0.0346205279688102,1.97732757243408,1.14256352276489,1.95319678270607,1.4038890279344,1.73260646911985,1.00145399428973,1.89531149070379,0.959489596940992,0.894729957346461,1.00259417196291,0.190834942785776,0.71220681127503,1.63064323142571,1.25426953745018,0.442967072067637,1.37260120882148,0.330821701224072,1.49506567115922,0.070909647688715,1.68186967583119,0.629155181911125,1.40276908746241,0.31029663040218,0.89495545032844,1.90548382224572,1.3219130405688,1.66354106694892,1.71967186191273,1.42771549452614,0.335212312650558,1.99825539207483,1.66014782378974,0.453307535683165,1.91941206156003,0.91604066748113,0.624508413543668,0.86940268616055,1.71274814342853,1.82678562473798,0.0496387952614308,1.72489077688125,0.238194197332709,0.262006125077648,0.696197526401603,0.215371520687315,0.42289500269359,0.330912310341757,1.81473507843342,1.55056222078526,1.2723549996222,0.399703109459937,1.82043876948189,1.80981412894343,1.08969886668541,1.47622605535575,0.0984814338792553,0.0192694641837688,0.536450970660965,1.97413695669005,0.0258912777867831,0.628501486705712,1.83489884478229
"MEblue",0.960847513704898,1.82777641220842,1.55318185383612,0.131789387934567,0,1.74661689358024,0.020179425874115,1.7711269205977,0.915515426098439,0.32152080174254,1.25266809492411,0.819100588736918,0.457579555546716,0.396090825891455,0.217798358362025,0.585455389502358,1.74036694579435,1.58138974660195,0.837735932361076,1.82731956322147,0.176789249282305,1.90860030359491,0.387922843689686,1.17513253682807,1.64475038517769,1.85209489034646,0.370255199041364,1.72506382354398,1.4230490001852,0.0537551629824525,1.94165304275682,1.21091564561418,1.96685370750901,0.980452334718922,1.38352346731667,0.509112432283211,1.66909768911578,1.25971340738084,1.39625684891342,1.3954877606082,0.0282097153073712,1.12191670790103,1.91474750874818,1.48160880494338,0.237120863232427,1.34372577886863,0.694408390213786,1.83034601441103,0.0138070455648286,1.30090300277021,1.10460431926956,1.79996546130228,0.681520710808729,0.436963633943877,1.99435467082309,1.61933890408083,1.21670380442606,1.96033144273562,0.925116445513606,0.774184761845296,1.85677385818809,1.92503750363936,0.644011284045557,1.96747390219003,0.619512895525819,0.231024667777422,1.29786880857729,1.45062460565871,1.95830837521653,0.267978281398619,1.91956119009691,0.543079088116168,0.0256905797132966,0.447895317817009,0.153652770367781,0.100123405185369,0.0771381831926964,1.42649177426405,1.11678765448501,1.69221982389674,0.208835296668257,1.99233501091533,1.94082377471749,0.636653888931187,1.72191409287212,0.156766936413889,0.0594577478025881,0.931427096419702,1.74175178662411,0.138862726233713,0.226581330690852,1.50816133331311
"MEblue2",1.57046209823731,0.0285164557680392,1.09825451379417,1.87773179206204,1.74661689358024,0,1.71996066280603,0.567196493701896,1.64680152437172,1.01867555359176,1.3853862398639,0.482110182529124,1.76788388346408,1.93059837924004,1.90598880232965,1.83161521903921,0.887595352812382,1.09591515499526,0.533204844005492,0.0410869993722596,1.23933128185153,0.0617303823273714,1.6583800057944,0.21724891855794,0.0905410485651635,0.686558623979171,0.966376431790072,0.277848969091427,1.23219715645688,1.90781162113317,0.182521430990971,0.611060947594255,0.122358413445201,0.369569500089378,0.541280593477813,1.02163636551665,0.0216890917973375,1.43012454690234,1.06240948210431,1.30767934194133,1.58652248211995,1.55424338922609,0.573142374195001,1.17203614316744,1.7564807751384,0.23106316290441,1.8365401038595,0.737102217147726,1.83994934540284,0.174428359388339,1.51503236862808,0.634551309244025,1.40668844950609,0.923570360339892,0.205877402664477,0.42788120423584,0.306009062800402,0.453838286493474,0.556102282379874,1.71511801360291,0.122800227845829,0.325495869818587,1.86053265193614,0.288723043228099,0.681980613935601,1.18319737989304,1.3931640491501,0.0707247993581304,0.418049934988359,1.95710542535005,0.547233596475622,1.91573107900445,1.59916412908178,0.888535056585286,1.42900352723516,1.41354230753217,1.43411228400766,0.209306470680106,0.299150079976589,0.916631787035569,1.23054796895927,0.326882442504012,0.143806389582764,0.679708460922049,0.887759957050127,1.58983912142457,1.81859480801922,1.69696450778229,0.102993576457349,1.95969579134246,1.38328172501761,0.0934751720786489
"MEbrown",1.07869838270854,1.76665996016139,1.49723118358589,0.0846423759485166,0.020179425874115,1.71996066280603,0,1.87634727529293,0.841854261116066,0.316514924112204,1.17920259571096,0.813536155331168,0.351883125045344,0.355087562521984,0.164686539443183,0.517981945858066,1.73584835071169,1.56847706092211,0.912280436262735,1.84723645468028,0.193444474163604,1.91272952086855,0.261407517042905,1.17008811653779,1.70259807708435,1.87409733461588,0.402363612406724,1.83103491901502,1.35891702940923,0.0566516936453979,1.9765980470926,1.11752189604492,1.96231774128767,1.0113968787746,1.54670928634511,0.649342441755206,1.67981102417859,1.30579139210907,1.25251641386492,1.39001951021786,0.0227878612250102,1.10584514927958,1.88744143631404,1.55113439431021,0.372288762706073,1.21664542890203,0.669089044616421,1.80204061007956,0.0260148335759601,1.33951955264811,1.0339935220702,1.69596987205252,0.511678659661936,0.505204704768625,1.98245770641049,1.45312641087307,1.3095810530027,1.93268189963095,1.04394044548489,0.691269104939622,1.90716103476643,1.8326534712427,0.709380670266141,1.99698791486514,0.573990907805905,0.285646648290633,1.2713543206328,1.43327598976319,1.97971693883574,0.237619082991751,1.93562925424316,0.531805975001737,0.064934368848427,0.390929990658235,0.0784737150917341,0.150246752931997,0.0883885494191012,1.51703019735433,1.17072861036394,1.63373590717237,0.158855936868136,1.97193741526738,1.87038542224172,0.682615162089303,1.76075738056087,0.0664881159846488,0.0236458307018006,0.913529310864611,1.80308292238627,0.130607974747635,0.349105930685562,1.55093780358589
"MEbrown2",0.520961074630635,0.576001584999661,0.565393324977077,1.80088448443401,1.7711269205977,0.567196493701896,1.87634727529293,0,1.13100856653989,1.70019411460557,0.852592111473651,1.3321536458316,1.66679112328465,1.49700291016984,1.72188959428782,1.40511629534201,0.277280023235431,0.408409678675751,1.06536999774313,0.337253367024289,1.73130190319639,0.295245940030746,1.82212629662515,1.03536797836142,0.399938011575638,0.133972553229403,1.55828486388832,0.121806784308434,0.688209424995054,1.72375303216233,0.137685838286258,1.07358793715801,0.244517218846252,1.08827446527771,0.23087631952573,1.07943796444007,0.531637098452051,0.478518591320262,0.991063334200559,0.525270990150108,1.85972747923415,0.771551709554406,0.247345566081944,0.247339294181243,1.18017413865059,1.2114915946612,1.16644381872807,0.294265525872351,1.75533209878802,0.786951657382899,0.962667431867207,0.571521677634737,1.71389820845662,1.39279867309404,0.21567017872455,0.98912681481165,0.679683560153967,0.232082572909292,0.837022273041171,1.2866897301951,0.194998419200686,0.493726979559176,0.937400331481179,0.0994009959245787,1.60092673566333,1.57836585554003,0.663550346249741,0.826948835639235,0.0988184047326529,1.58997630450394,0.119592785458399,1.25913175974148,1.72687040278733,1.75881361772102,1.97484491212879,1.66766284073048,1.80039254256527,0.496478162470445,0.900628160559845,0.476505814773481,1.89558675249584,0.211448402830548,0.45694290617783,1.31770649549463,0.163682856036319,1.97635346663961,1.85642466255608,0.935618077801463,0.286460028710483,1.65625900024968,1.32684296128492,0.584143573736554
"MEbrown4",0.487279581453232,1.45138064549496,0.222670061708441,0.458131606974263,0.915515426098439,1.64680152437172,0.841854261116066,1.13100856653989,0,1.57583521726733,0.057642124467239,1.86999820367986,0.177423669247366,0.156069348183752,0.325512585208466,0.0591307615401081,0.464716651309511,0.297620881994291,1.96655995306741,1.624074214756,1.45301267057593,1.48477634834772,0.340778550352535,1.91670291894984,1.80865301128504,0.702034676756005,1.69271032556651,1.57900231630612,0.135814811972355,0.600846917912535,1.35598355579639,1.06864832684839,1.32666270743243,1.96397367518737,1.65018419604029,1.73334893770784,1.77407339247436,0.260557052279388,0.210797446262906,0.19117683915005,1.05474137404692,0.0715731708941116,0.692273236388212,0.470742771381617,0.941934161943644,1.4560309795186,0.0487875446240227,0.538200628146081,0.753826667354586,1.96060207778963,0.0185479711729001,0.531284324317334,0.324342639791403,1.77314853579959,1.1675035714257,0.837109370847507,1.97866764865671,0.815832162015203,1.95481264403035,0.0132441965605592,1.55217853141271,0.878667911504706,0.262496199767712,1.17149181956789,1.67956328217635,1.56895952639087,0.111462567459311,1.84112549257161,0.980449068920435,0.260482316053386,0.822265360476677,0.10792060341519,1.14129023944838,1.52335394521172,0.997197588724217,1.35800709735204,1.26137146657037,1.91654691243581,1.99191791370075,0.342628552024867,1.28132209399893,0.981103836001453,1.16547855252173,1.88046050802999,0.576618134344381,0.73657876278213,0.632307699840573,0.0420991069155255,1.71038297631154,0.425396045499456,1.44527653114535,1.89519109727325
"MEcoral",1.59035471783252,1.16756872324948,1.93346559508259,0.654377318594373,0.32152080174254,1.01867555359176,0.316514924112204,1.70019411460557,1.57583521726733,0,1.7949765165378,0.157371896858162,1.01559302247534,1.1113931654887,0.814169287315291,1.2836043925043,1.99033865107313,1.97974651635519,0.253448054480528,1.19176953209556,0.0282577881427348,1.334591951072,0.787761012680169,0.401171230116474,0.977217833906456,1.94098263873699,0.0208886884496052,1.31248042208952,1.88403290039937,0.577552726017471,1.52185842878131,0.880664424206485,1.48773798993979,0.281268258288684,1.09786080954062,0.307175543670893,0.931131261599603,1.87281452913644,1.64561684952059,1.93431545901728,0.18380306597447,1.79284617832444,1.90278753584152,1.92584725720346,0.707476756097844,0.653432909852548,1.45909032720573,1.95631557729112,0.443953023753441,0.549620580661313,1.71556446723789,1.78726774497661,0.945845436845221,0.0794857245725211,1.62014921633389,1.27929798147955,0.575915811793284,1.83996345750256,0.416727386722259,1.4370950298576,1.33069280956803,1.63628249186147,1.42405630025782,1.67697882206207,0.0717490040226183,0.0535691753215745,1.87865709776622,0.652515824517433,1.804576694029,0.949367072439074,1.88796901759658,1.32091542856478,0.200608458279827,0.0393147846904303,0.189179118379931,0.109666494777313,0.0918866070367139,0.784746395074363,0.412032320013348,1.94221961181183,0.0573795387860369,1.74915454130431,1.46329724361307,0.107945271230073,1.96968431024286,0.368810176894925,0.482057603001838,1.66333887849823,1.1374424218559,0.761145035933655,0.278102529504536,0.772619826663901
