"","MEantiquewhite1","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue3","MEblue4","MEblueviolet","MEbrown","MEbrown1","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcoral4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen1","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEdeeppink1","MEfirebrick2","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred2","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightskyblue4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEmistyrose","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink3","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpowderblue","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna2","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEslateblue","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow2","MEyellow3","MEyellow4","MEyellowgreen"
"MEantiquewhite1",0,1.93834687887032,0.224433042942787,0.382538373406341,1.20323015691306,0.631477098598117,0.0795303635281588,1.43201973322414,1.75165481499043,1.53740169249539,0.90094417051108,1.32109351986743,1.55981594829016,0.102043118124302,1.28492285819723,0.0341292325827551,0.780395865027728,0.362425635377933,1.89334241317253,1.66094224365025,1.39019298037012,0.925622901558207,1.44167996172067,0.615460910256541,1.08295559617722,0.973062848063462,0.030956282631717,0.099338925237406,1.11105442662576,1.57305644902848,1.18758620575474,0.0461588418629834,1.88996099438048,0.0870888625251951,0.584802392669702,0.683752767417727,1.81631843904656,1.97147500773995,1.27738641829522,0.756890677144639,0.230720543032237,0.395663287085535,0.316020324773813,0.727454037209037,1.87868097668659,0.400421858228067,1.25245081108162,0.888227295436885,1.84877632442794,0.499516620903891,0.865154729752722,0.118820955332545,1.1105403075559,1.77351136673646,1.33639636714253,1.24007289528979,1.56581402336072,1.65498142399204,0.041012622773379,1.63448847718003,1.02767322473517,1.42683902239295,1.1844558205236,0.384873308094428,1.57015425271498,1.98659274807041,0.297207336368573,0.164852017201442,1.34808090622014,0.492566924973931,0.827778559264695,0.519783401974437,0.163901460707919,0.249463204162442,1.630477062394,1.7370297332539,1.92559807165703,0.992711829257406,1.50837008306647,0.766078509557877,1.87327586783104,0.762189256708148,0.477992635700802,1.84228659494636,0.0978921255533954,0.302075853385533,0.224916136768099,0.203697183703926,0.348505761599758,1.6247423208203,0.115592071427346,0.0306454698336286,0.489347280021897,0.969311034871468,1.65714560492914,0.420468360524604,0.411186644808781,0.275419604638743,0.675798676227581,0.148824267370546,0.455429134291872,1.96630975278018,0.664058584880435,0.673317749466831,1.04978189600995,0.90355130359748,1.00294560388878,1.27171752653826,0.622676738270413,0.104394035077936,0.18875985169946,0.0981236519043928,0.283000946730095,1.77029862335821,1.86628847698426,1.68458663305473,1.17388864465622,0.101940893421051,1.30546692415633,0.147106356831293,0.504451662678168,1.34131508538557,0.282914838581435,1.42691588742573,0.0459678995202617,0.272598428167361,1.2802681422572,0.251041802804423,0.151906319502668,0.789632573205072,1.49134831674288,0.988527644561855,0.515355813474699,1.64853155616145,1.88285910823513,0.656334213318557,1.11914483190528
"MEantiquewhite2",1.93834687887032,0,1.94226632133738,1.81641641105159,0.529341631886066,1.14388581246148,1.83358821817478,0.488538449180416,0.0678349710262535,0.223398295557882,0.79507581180967,0.477622525241665,0.189757425854394,1.9923818885778,0.403307635559017,1.98476706335612,1.51419647456964,1.85337180939812,0.195117671748667,0.199884055835415,0.83593024353541,1.32468955044954,0.816222794726652,1.61206861877229,1.20617094726311,0.724598534942364,1.94884344348911,1.73804574453444,0.586561101069384,0.610951608266986,1.09324738225422,1.99641031546893,0.146227475678056,1.9346667595114,1.68058366353584,1.03477954682367,0.289812615626329,0.0599267782010747,1.04090282255772,0.895978645382098,1.88854670879612,1.50773084583603,1.53570937347642,1.02905731029954,0.104278196710295,1.37096489836729,0.931692193783306,1.39179182113956,0.0242969420101795,1.74596253111137,0.964819660539293,1.66493714348035,0.706335303901924,0.0778080812149398,0.402959628638501,0.873057999067263,0.661176593391345,0.126427713489517,1.96192994741822,0.654049230890205,0.674463219993463,0.30687572555861,1.0617619386954,1.34334880852533,0.693601342274266,0.0203568968878717,1.70295569113573,1.96833220827317,0.419725990277762,1.73211351445909,0.924459114054712,1.26345256246559,1.69301896357782,1.83774671509772,0.16417273837176,0.38202108173802,0.0232045178339058,1.16146533959535,0.269017344748926,1.45304476994132,0.0663894693452013,1.50150011847152,1.66150391123684,0.0248085530100252,1.96839805006533,1.89568189549884,1.65363549505207,1.94576048844665,1.63571286962256,0.390090995610912,1.87495174992449,1.89302434115943,1.2040296416177,1.3526512530534,0.509217287138781,1.40121219389277,1.81465413106002,1.4640505176607,1.60981364032014,1.76608124459157,1.78726849641633,0.131060201269463,1.62669996357659,1.00970960498626,1.19883203827399,0.836138702160767,0.732708292952586,0.954305401246256,1.1080937437638,1.95525222801933,1.63675764905634,1.97903743988678,1.90731460007305,0.402094257949328,0.0346181960395106,0.531975944689844,0.516271733347967,1.78026597615514,0.409070452900805,1.97480138530119,1.70106948400906,0.924760477129555,1.52281529068413,0.343125635061673,1.92843754050503,1.8956293719603,0.997285705433883,1.89985018811718,1.81057190446804,0.924168119293085,0.718869875512824,1.30419367428134,1.22961413239751,0.171366868125682,0.262336805269947,1.60599488479681,0.626185342027976
"MEantiquewhite4",0.224433042942787,1.94226632133738,0,0.0668431258663487,1.69401707573047,1.11423520694847,0.357051602642451,1.55873116339159,1.99728659989325,1.92705153878242,1.49058411765619,1.68258529123563,1.95524466579145,0.0270846842159139,1.82265301547873,0.109797536589881,0.243331594334671,0.0253708944937048,1.60668796972284,1.86202667043893,0.896784474573232,0.442368842149319,0.887865901635175,0.214369425415167,0.513474385301733,1.50806357805518,0.165174648895675,0.510083884616669,1.67103963816538,1.13788998744125,0.62112174323396,0.0726098872432526,1.70141464273956,0.161176174375583,0.124912044180794,1.25928873831261,1.50186796775635,1.79086944971632,0.636263235485502,1.42146102093016,0.0771568977531271,0.666521473838959,0.688799688034181,1.23326802837705,1.78950587385852,0.910577691818904,0.920385939736444,0.358949985140748,1.98819071379868,0.0868978543474438,1.22140570178731,0.609140470935956,1.46203843267182,1.96830247997754,1.79402227447541,0.958515785866355,1.05478641552864,1.98236855569138,0.148739735496898,1.01359133273736,1.5923977948826,1.87938962840397,0.677277463985761,0.969185115564517,0.993497694412302,1.85801948274193,0.336487829503138,0.0116971540091295,1.7575511643046,0.116154157945011,1.33061682411908,1.0001149926829,0.539158940247508,0.182972482938779,1.94886377716932,1.40521429864309,1.91814777846312,0.669818372725183,1.87659698436262,0.354740405109012,1.86724587460295,0.277610605446194,0.245646820792721,1.98548714174703,0.0643765542102963,0.00788674115564869,0.557184266440214,0.00835990893773964,0.470695870486034,1.48851254244972,0.247278456405524,0.287884051547726,1.12123240360197,0.358779679102395,1.24585924090728,0.839477304847845,0.054722954795559,0.845944841164499,0.168572857245489,0.41935890043687,0.0564017024920106,1.6645963496859,0.156099462357002,1.30515760159097,0.553845351164166,1.42000832013325,1.51422121130954,0.79101128525051,1.18315235869532,0.103805768279517,0.618027141158427,0.0602327217959933,0.0151289756045201,1.33940694292212,1.9372911163874,1.18215770061098,1.73623996394359,0.435894270452378,1.80934742671057,0.0121660567039181,0.157762777016634,0.783284867539219,0.742495911677636,1.82175904010616,0.207757545232337,0.0295711997344204,0.708911028533241,0.0596693011305774,0.333970917248758,1.36254756996837,1.01680213583825,0.425358352570482,1.06164921929573,1.88754253870644,1.49501041171877,0.189422580054552,1.59939174811579
"MEbisque4",0.382538373406341,1.81641641105159,0.0668431258663487,0,1.89075516642393,1.44384787830769,0.631250128008189,1.7835479039095,1.93580356328394,1.98784139601907,1.7204857330666,1.89890860884038,1.92744657202431,0.143881436306462,1.83579266379207,0.28413114689391,0.101322832642885,0.0202177084301506,1.31835698981736,1.96607835683831,0.569005500802355,0.191702716333509,0.58468859052427,0.0463374080159636,0.270532089453817,1.41412420631235,0.240646713222251,0.770439406207287,1.84836427794228,0.79479464472156,0.351620670862067,0.209626770217662,1.41800577665434,0.398801735038837,0.0355537022211648,1.54151203600026,1.18368296005413,1.57158663332863,0.422957750502633,1.54579296015901,0.0338348851807626,1.02305732919778,1.03035815122656,1.54603880852228,1.52488520198659,1.22733708956396,1.11614039081071,0.1513442116126,1.91941799160792,0.0161588335720055,1.55461306746819,0.765218197402533,1.74747492886134,1.97340307568661,1.94575968962943,0.602941443839817,0.735010702254001,1.95377225739104,0.356864651242444,0.852068085154932,1.80253639279836,1.96655448419028,0.376734098179569,1.23912410063964,0.710957337162043,1.71796727969876,0.214314938854844,0.129268378420755,1.93822037105971,0.00934300562848245,1.63034312611561,1.33390934520398,0.843671782892902,0.438646848642888,1.99715140407789,1.06788880538543,1.85963783555573,0.353213113384477,1.98831904003777,0.124763218982414,1.63510322348724,0.0918931296650732,0.0733006804865951,1.86763601082842,0.105684652808544,0.038764170494121,0.885578623220599,0.043300919409913,0.807625951994848,1.1429143871131,0.521753425384152,0.521777250404277,1.35539091277175,0.215601071541925,0.90595961213349,1.18484351701883,0.144662461767371,1.09253039089205,0.0674723373434686,0.726417611965469,0.0231443547003887,1.4319189507343,0.173487932876889,1.53777800263834,0.275305447873832,1.69880247659728,1.77055425637135,0.468363163646934,1.47953402100067,0.315292165838661,0.918227901875358,0.233397169419552,0.118055222559932,1.02662332932181,1.75379273702018,0.874603546013096,1.8708068538956,0.719162642411459,1.93205808145964,0.0784119500373961,0.020368825086996,0.4875374807936,1.05990988856514,1.96878573433276,0.441870303298361,0.0121303497601645,0.427707561190635,0.231960670532205,0.634602358086731,1.63142772131197,0.680991170325022,0.207188112783395,1.3683540593211,1.69459886907448,1.21540615650913,0.0492098935781564,1.83620574737693
"MEblack",1.20323015691306,0.529341631886066,1.69401707573047,1.89075516642393,0,0.205714152788313,0.909792838152743,0.207923803889796,0.287497890984185,0.0880307319556606,0.0487037300321463,0.0340435449036561,0.200619803866756,1.53394764067008,0.16911254792007,1.32261507324893,1.97791689671385,1.8346160608459,1.13803019820494,0.149048784328977,1.78549801675366,1.98166268586582,1.7799028306667,1.97982730980928,1.95655809516572,0.553792655728204,1.40946082820623,0.765492176214488,0.0154615572104237,1.61526928621778,1.92107614895369,1.42681514399922,1.02273245036753,1.19083821044928,1.94637364877585,0.136595769310854,1.26947403978019,0.857953373389901,1.85449943181871,0.224200090675796,1.77729389897848,0.567689775124664,0.531921673107791,0.138127346340689,0.888851552631891,0.356093022804946,0.901120058485726,1.99370710202186,0.351733832196359,1.92433595100525,0.177487413000816,0.819815824852306,0.0844254444168959,0.228311009698876,0.0119567766155427,1.69093406227329,1.67005215806074,0.211821081177703,1.22945901738745,1.4992902951944,0.0187597172394537,0.0537787698298382,1.90345780835316,0.354628883765931,1.68313375804918,0.666833634304148,1.62927542267788,1.57654381735985,0.0145737144722248,1.94433675676204,0.0914001462361783,0.280722674843185,0.693338613380348,1.20477520449697,0.123190807331764,1.37447981251565,0.447212391275791,1.85391857166142,0.0545928208906369,1.97893780336151,0.74853904720329,1.99799983802258,1.88963675142595,0.42628719452285,1.60492873590722,1.77301624971037,0.662449647667361,1.72421632456989,0.797373038546889,1.24243991162362,1.04866194135824,1.02828694066504,0.281602132190723,1.92802956180731,1.52415666729175,0.400983920532579,1.67294729687247,0.482213738532842,1.95404922317736,0.818263395885777,1.8823680274208,1.01943244478735,1.7783732721389,0.154520770188838,1.95142128271189,0.0552232000803611,0.0256996558691126,1.84652287176509,0.174594436402198,1.30288238109568,0.621159143290282,1.40759415125515,1.64737960334775,1.42502810461859,0.591647647127197,1.55821494187639,0.0343051872109746,0.816843337026758,0.0265036851924306,1.64796805524221,1.94904346214473,1.8437039239673,0.495064801276958,0.0279817354602442,1.12456111610929,1.80986905838558,1.87932240005622,1.47347016182656,0.925896996196844,0.0860657239861262,1.70580790765497,1.97810139466303,0.25012896922574,0.568877705803626,1.24666492269731,1.98227825138386,0.00937101057320167
"MEblue",0.631477098598117,1.14388581246148,1.11423520694847,1.44384787830769,0.205714152788313,0,0.335132725408598,0.3717250599646,0.85934285084827,0.524421402106407,0.103678668843497,0.240009269626562,0.706334463337274,0.91760465985113,0.553763908184937,0.696775414866138,1.7096083981963,1.32948980750785,1.70179621318042,0.549120928497131,1.99758652101677,1.88568034288131,1.98048944970464,1.69135275959113,1.9086962089131,0.824719593184838,0.867123810541152,0.267246525745045,0.209884895712304,1.96613158277042,1.95062963440883,0.809475007099611,1.62376416500722,0.555915344993555,1.56709302390437,0.0294297703380987,1.79560437044215,1.4694889913286,1.86884526045789,0.293070985955536,1.29858708824992,0.120020106183673,0.0916186299374081,0.00742010467530407,1.51439704733703,0.0379631476121249,0.783697780379662,1.83030499928559,0.938253134515097,1.50519876049831,0.0488350416858866,0.430415770151715,0.123211266404825,0.750200898045999,0.306912364367319,1.92459999806804,1.97003528265294,0.743204861539457,0.60048249197484,1.69443598348852,0.147609591178113,0.437806420625244,1.97546444871793,0.0880135336199862,1.93473221979779,1.26094021961074,1.31902309430989,0.962078644845865,0.277962670224052,1.55877627728729,0.0247550166916927,0.0077448655106962,0.189972869978838,0.590797672015984,0.590135798888505,1.85971092595536,1.00836868350352,1.90526127744091,0.434141969722735,1.80958805106222,1.3865604439124,1.76838303903621,1.59722541220519,1.04057478485174,1.04985399778028,1.22959879048183,0.160989384606115,1.16448184942509,0.270774065134274,1.75209901114881,0.431991588012243,0.441525088503076,0.116836518466863,1.73665946997323,1.93133192899612,0.0377975698877245,1.12861620767969,0.161376037067497,1.61367911017653,0.259958019309684,1.42101015706997,1.58455006209854,1.35805464661507,0.0955965937753031,1.93786039457782,0.0505597181570838,0.0892956962346636,1.99323701850532,0.0173843743354176,0.661725971049754,0.157646583983538,0.770262458794338,1.06059884784094,1.87178827978637,1.22891621107984,1.92231591738229,0.291894135657066,0.27367540161289,0.341508897662361,1.06264888237649,1.60170482017803,1.98062553607184,0.0878825433816366,0.350841364006262,0.505452549876154,1.30101682064409,1.966843404067,0.857982526194674,0.335533693453925,0.0464673853904015,1.98866605272446,1.86401856205547,0.0192628713378479,1.15967911391799,1.75578421945202,1.6719553667617,0.138010153016625
"MEblue2",0.0795303635281588,1.83358821817478,0.357051602642451,0.631250128008189,0.909792838152743,0.335132725408598,0,1.04847974364052,1.61789562079782,1.31547350348776,0.648338074944322,0.974667291192648,1.43596933003607,0.206691878086699,1.18491718850448,0.0871407108664353,1.01360278182129,0.544125349038773,1.99589291891664,1.35739783183798,1.67762523537533,1.24718623489775,1.68693163228821,0.922161974081734,1.35388510527504,1.08316134670118,0.200533533773583,0.0286745338581759,0.86423106435163,1.82869315928991,1.46186636070095,0.140483884245523,1.9867448422512,0.0513723316612967,0.80735389253025,0.428022491440472,1.97527678352395,1.97030647556191,1.46138087959705,0.66571589415197,0.490386228372374,0.133151838040256,0.0916085539303805,0.424827612468149,1.95486380606764,0.181040782347697,0.958498035494138,1.16953636353452,1.69921471367274,0.722529247927432,0.502555407242979,0.164354458976446,0.738399021280193,1.55617309221786,1.06018799413824,1.59703424033947,1.7967084964054,1.50718286597581,0.0517498795763391,1.6600161444686,0.764726995848938,1.20272043837063,1.49530909249044,0.223955412545105,1.75644567661175,1.88716553292496,0.628090229923399,0.252419175828724,1.03541327598996,0.759832602214046,0.513656359591381,0.248803076029225,0.0244739463560769,0.149069933959009,1.39943374830868,1.94035268008374,1.74466674406558,1.37191048980134,1.23445233417181,1.10465661847326,1.9113639123624,1.05109418316864,0.82384101836114,1.75198526806047,0.291874932518216,0.456846414248207,0.0413883414740098,0.379037290423149,0.123061927309008,1.86480967540301,0.0277370862654823,0.0118871751865671,0.341598929300498,1.15307354458083,1.88598667428309,0.162981502429851,0.466320398128572,0.171472617821422,0.888266286677078,0.0117296510842875,0.64592753351678,1.98405781924065,0.738687310296885,0.477560796112056,1.37081500307164,0.593659210767915,0.692798648168013,1.58491939302304,0.366821509512344,0.0956356154701093,0.0469081703896199,0.136536646479268,0.3580645966971,1.93673663858622,1.84786562689785,1.86895437776104,0.960625331366379,0.00517224623930668,1.07154510644509,0.300130212077732,0.804170198794247,1.60491684078302,0.0952325645384005,1.13313876445276,0.0237946208381523,0.491660460947639,1.54334970168296,0.250472509975102,0.0226858153858318,0.521273683206959,1.76085691645153,1.25580476276365,0.276444168941247,1.69793080893706,1.97927473341099,0.919762715802714,0.801161650813982
"MEblue3",1.43201973322414,0.488538449180416,1.55873116339159,1.7835479039095,0.207923803889796,0.3717250599646,1.04847974364052,0,0.438835968652733,0.283661747196487,0.370683607523371,0.077395826998869,0.492233992497982,1.50794423079901,0.60143520934473,1.38820733448229,1.66917420660119,1.64488180763627,1.00867540557822,0.0982001491151527,1.60131535969804,1.81250289122484,1.50279460068468,1.85781737886404,1.66814158006395,1.1573927216412,1.63631516528279,1.03961375167459,0.326237362666487,1.46757856716926,1.6444965805585,1.48396131234671,0.980894330969436,1.17712571635594,1.6898479488911,0.430440544118339,1.16115935983933,0.739047658285963,1.42908723385049,0.756369875685776,1.82503690485301,0.549981195250703,0.64149428725994,0.325505553601693,0.921411974476597,0.605428604115343,0.333500156432244,1.74209426852301,0.393509965550663,1.70842278828436,0.174955772588291,1.27551183675067,0.0823869064103653,0.256612827832029,0.21094989668295,1.76163996899055,1.42731804955288,0.422351489558981,1.28720498048348,0.966603760557726,0.314848577706549,0.300802276982344,1.7162233743218,0.726449193242174,1.33718590056665,0.507908133917116,1.92659148879569,1.46407799238407,0.135770370375805,1.80314185906997,0.271086823023756,0.461422471820504,0.874684644294844,1.00681629221384,0.248150157812113,1.28582209870322,0.325286034773808,1.89250873179389,0.180921503933919,1.8844668176743,0.825001577527085,1.78862927755008,1.95478645227632,0.525117739991003,1.69950549244962,1.59611307059917,0.765981757517152,1.65432283788277,0.669756894211535,1.36552191218922,1.04339512915055,1.20045849496692,0.715941963327112,1.51395408746668,1.37900769206028,0.530073448400861,1.35105610427562,0.887003467087605,1.64840399009082,0.90151449700787,1.64708516303955,0.802532497353405,1.34454435550318,0.555427457632327,1.77662560478733,0.255880519974835,0.226648615487731,1.69155915428393,0.450606122812364,1.24401084517192,0.852877080334225,1.35574884044873,1.42184202200999,1.21051465626763,0.688979151106155,1.2875669477032,0.381251051287165,0.994434142769554,0.306470570752415,1.61185767143128,1.86603486196893,1.57379175287594,0.718932314819441,0.156998321714551,1.20383792064594,1.73852551177585,1.59296996003969,1.24875594734935,0.932447720576745,0.371775942230563,1.52886319679483,1.68707725204175,0.522267190321893,0.874997782481675,1.01547606221758,1.76052447739148,0.180303373592652
"MEblue4",1.75165481499043,0.0678349710262535,1.99728659989325,1.93580356328394,0.287497890984185,0.85934285084827,1.61789562079782,0.438835968652733,0,0.0624485566227353,0.482504592347394,0.305850779340745,0.0333776739037012,1.96241293508938,0.156248631374032,1.87226746631539,1.77359438543586,1.97769008970406,0.413996488257511,0.136893407257905,1.12649299644836,1.5746634888056,1.1380959320807,1.7957787721495,1.50812532764644,0.465836577839551,1.81415883202347,1.4588566723014,0.305899014846755,0.885903790841905,1.40250894232331,1.91149006902574,0.316548909995573,1.8220728068295,1.88553524327888,0.711285043647288,0.519446414639275,0.227008738617626,1.3884153052348,0.543786990563254,1.91664020301108,1.30980862970954,1.28366609153468,0.740610398483806,0.22362617244636,1.05872765113435,1.09807519887775,1.65890257813036,0.0157992703893887,1.92084505611071,0.757161188509295,1.35485371965235,0.520414396103482,0.0319142703508204,0.189072693315767,1.05107566430873,0.971282273534192,0.00968646807536611,1.83170622368104,1.01095290461092,0.383853146932084,0.105928369415556,1.34375491124494,0.996897719272342,1.03349744584718,0.157388909990518,1.64535411033625,1.980734427276,0.228314464205254,1.8913717262523,0.644969529886836,0.972628576715864,1.43256845596068,1.80282425080311,0.0453668567293321,0.616484836283865,0.0909189161835607,1.34158564803748,0.113156275317665,1.65543834734821,0.142126796546834,1.73692593426246,1.75316073925024,0.0172139481629422,1.92282999489321,1.99239495732482,1.41665378909906,1.98726721164212,1.50878641062035,0.521250147416265,1.73321410618249,1.68680901304327,0.843357524385673,1.66018182960092,0.777699308333021,1.1330647322154,1.94426498351092,1.11868816854544,1.84479947149046,1.55593606894847,1.9500000459425,0.358445141671825,1.85239054871031,0.660925439264441,1.46500835797899,0.556420333578185,0.463555693903932,1.23053041712558,0.787022470115198,1.88221752150937,1.35158530585723,1.92652061074739,1.98507546546066,0.685600087926788,0.0686555045438495,0.84474817959434,0.241568769172585,1.53782422138035,0.172556037030614,1.98083985915071,1.84863873888513,1.24167426517856,1.2278489966935,0.166529673903992,1.76999968055311,1.96863849316069,1.31574326510923,1.93235006109571,1.64459261995937,0.609867283838136,1.0073469891622,1.59530050073327,0.907807574401496,0.109367389270861,0.529660397091339,1.82260625608612,0.381218917173772
"MEblueviolet",1.53740169249539,0.223398295557882,1.92705153878242,1.98784139601907,0.0880307319556606,0.524421402106407,1.31547350348776,0.283661747196487,0.0624485566227353,0,0.224886708270277,0.117287097132625,0.0375893674201085,1.82654453979542,0.092326425569332,1.66863335315493,1.9382079204876,1.98558375908788,0.727051186329571,0.0762794256422734,1.46350671467946,1.82213756107501,1.46859822937258,1.94995817950449,1.77225390607713,0.461311020788097,1.67575587900368,1.14994575383757,0.105356155572193,1.23844833667757,1.69278827730427,1.74301669762766,0.612093121142382,1.57514654314066,1.98759617324443,0.402364647481404,0.853258422476321,0.47946401448067,1.6536542408835,0.345423498795289,1.91902293440765,0.968613713895151,0.934173297584763,0.421420082317727,0.490959481755383,0.714281995976302,1.01472504129837,1.87829547455907,0.10441651358857,1.99690253695628,0.452860916832204,1.11411792890028,0.268455349184948,0.0531961552034934,0.0365755173954107,1.37029238579158,1.31647645867317,0.030211018874186,1.59909743718723,1.25922196591932,0.152672040184517,0.00799786055711105,1.6487804748816,0.676064237621333,1.36061759093265,0.344934192297919,1.68508079782772,1.8593003192047,0.0616372900107804,1.98860729256175,0.342510287700243,0.627442275760488,1.09994837395244,1.573310560366,0.00805473966572412,0.961479051936811,0.197434560482311,1.62053314900126,0.013958248859229,1.86743859101547,0.373685186475319,1.92555756057896,1.8787848343693,0.141512363077182,1.83716489326454,1.9637061491028,1.0762758819818,1.9353922308378,1.19969353497987,0.838597193848296,1.45305004473584,1.4138838030521,0.549639336566767,1.84871990561539,1.13021667016807,0.781259937258101,1.88832729106144,0.809916843911813,1.96808825991764,1.23480431640639,1.99348351337206,0.636939724235488,1.8877905499192,0.380813097725559,1.74318993826369,0.272609708961843,0.203757049359335,1.55412844674045,0.465600324479448,1.66612029189871,1.01648433870193,1.74363616715219,1.89789067162268,1.02832778830466,0.253133266887494,1.18768078087938,0.0766024968588794,1.22227984544346,0.033122767339069,1.89359509415549,1.96526942179275,1.56053087265212,0.881923489682007,0.0319451323671164,1.51112994158215,1.96678082847205,1.62161039965023,1.78175843945719,1.34057733098043,0.318183143904416,1.35443763325063,1.83381882975198,0.573517634922408,0.263345136392942,0.849412096068811,1.96809952434666,0.147896856105366
