"","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow4","MEyellowgreen"
"MEantiquewhite4",0,0.329292874275382,1.9022774556879,1.74850570756672,0.699077734575829,1.79195388150759,0.431877268105204,0.00799530704182316,1.07459394426334,1.74189266511048,0.281249500074899,1.43956467772667,1.97834265313759,0.364339948682579,1.54442675151535,0.536255769460088,1.177614823544,0.00506745674816167,0.786376079849311,0.0113385485430288,0.0493469393938271,1.04246572654041,0.590472494766261,0.0514988131103714,1.28301538815651,0.34706729469063,1.0518256344382,0.132347204636345,0.269090745991543,1.20532694207929,0.0497493596244617,0.106158117443816,0.165690431554401,0.654482115390556,1.99343607436424,0.711747954641021,0.880923875272041,0.901900026953721,1.94498471964565,1.33201942748327,0.227893626304051,0.846105614111852,1.44917238522392,0.220939655231876,0.162708950974469,0.427728802133149,0.0770837027958188,0.366647448306252,1.31187230927196,0.63462956202709,0.43232477186357,1.94419335610214,0.0519875451733708,1.62301031955343,0.543631615293986,1.96218062720708,0.0752136941832828,1.88376224399673,0.035476501422429,1.82412852075105,0.701711955397151,0.194181645111154,0.315914055255119,1.94412740375413,1.97979358114617,0.62621405018573,1.56838489926473,0.0962444049332453,0.0470806354286832,0.0298551192493838,0.0238247842447735,1.43799697502278,1.82105617844586,1.23587374305578,0.0229070060415383,0.898760976977075,1.25163722461837,0.117976439734033,1.91579671611884,0.1673280958204,1.80619569682634,0.323432521108555,1.03700371835666,0.205340277624544,1.85127046188768,1.44245029148913,0.341724151036739,1.67005272449055,0.276892569515305,1.15573717627997
"MEbisque4",0.329292874275382,0,1.35968409461962,1.08230920151588,1.49958278640294,1.16448273632856,0.266193852138521,0.424863727849827,1.72304567863293,1.96593768366028,0.0198288695687983,0.682741639447566,1.53709146215374,1.04337471879726,0.924908232720642,1.30343435703107,1.81652485628881,0.269170538691747,0.17232893441471,0.366224386433741,0.301994809713995,0.302883388682297,0.0525773629664972,0.144367026269374,0.869263021051798,0.0685203890884076,0.364675645901982,0.714210271534865,0.94779247639499,0.808114705361681,0.449147891502,0.570629730398717,0.14419121493963,1.38993212869099,1.67397071458006,1.47951287598291,1.60152245474809,0.326393535780167,1.44059049612446,0.65607148458702,0.910405747996394,1.50532321151653,0.763502679851526,0.934457646237317,0.0487944382165159,1.1574916054676,0.552023354474517,0.0889157007206468,0.589905530814511,1.28302013586267,0.0333105123025808,1.82179883899309,0.574692554842679,1.9479425582499,0.110810423303272,1.58276584276743,0.113994593007453,1.90677579462312,0.217623965667233,1.94519800850789,0.219380470194603,0.80522147480288,0.922274294565295,1.69196803072982,1.78168735182421,0.0906126312427391,0.847966982314707,0.647036647447986,0.368278624553297,0.289104271484138,0.478048796706499,1.93223141146371,1.45054185513625,0.478393030656831,0.191768375491536,0.217544108785446,0.461321874743121,0.0606901252072536,1.4877063021061,0.81196678872314,1.80411689458626,1.07190970595863,1.75965219940003,0.0175154553801415,1.25468080474125,1.88809700612461,1.09507207299366,0.965529201246759,0.748255169268025,0.492708098984692
"MEblack",1.9022774556879,1.35968409461962,0,0.0422642616851264,1.60010587126263,0.0230580415734017,1.17019891315149,1.92637040450614,1.33722423934533,0.579658134437857,1.37707760788583,0.233145882734118,0.0309064717565103,1.90074594279096,0.149368057251781,1.77266936217011,1.21087439806838,1.88363407578111,0.799377693174166,1.94494349445744,1.74893263683409,0.581850347757534,1.04279650913559,1.78834941842087,0.365013978027947,1.27026524171274,0.538606109123717,1.99506848732876,1.94696033492221,0.905613476056497,1.97404216021643,1.77619312766495,1.51617677376476,1.70124189572868,0.0882978084281696,1.63496680813573,1.50635826828175,0.661560304411271,0.00698671744689483,0.295696800776506,1.95761796294776,1.55662221872421,0.211805796379418,1.93360667428347,1.54135523561197,1.8569541883222,1.99296164796186,1.4627539650607,0.318021523742812,1.7217416549074,1.18912828947707,0.182099196975211,1.98828216130329,0.593174190542106,1.03846959540714,0.0327921314786996,1.68065907326685,0.383278517028682,1.86163568051178,0.386893119519307,0.860499113544928,1.97967628940938,1.92373340602299,0.0871396991885038,0.177852984802798,0.969978445053069,0.139367139172251,1.99852332427271,1.94528931818224,1.91048602345599,1.97319690901348,0.843241160827902,0.0617098857048506,0.394870505656782,1.79945782877577,0.704611014963575,0.471522854936464,1.65361090336379,0.0167670887726158,1.98055291079888,0.260692761471817,1.80031438724979,1.29499873374585,1.52430913228834,0.00636265113650336,0.965772585718606,1.88608838437756,0.0823802886279309,1.91961837983845,0.438374382274948
"MEblue",1.74850570756672,1.08230920151588,0.0422642616851264,0,1.78338439475462,0.0036152492113305,0.923977352966237,1.80016632676097,1.59301879851144,0.857536058452044,1.0958351222293,0.0814887477928289,0.137177977462293,1.98450095013157,0.0517281443243841,1.91962403110852,1.48016322931356,1.71375985360477,0.52687025905087,1.81245605026177,1.56336902092354,0.344871618045465,0.759606305219488,1.58129819535692,0.248809823174715,0.987439883260019,0.303404627921503,1.97713262078241,1.99845686780656,0.89571891475898,1.87646326478311,1.6661569567296,1.26716244276374,1.87634146233595,0.24191819804152,1.82676213144106,1.73225012366763,0.414656519913287,0.0787114182971019,0.12794870777639,1.99434045863954,1.76658665634503,0.0731757212703259,1.96722267516379,1.27797204902012,1.96822202706936,1.92756259820806,1.24199839611805,0.137417146405978,1.87774484442402,0.899063382700812,0.378123545379894,1.91968633368514,0.84082762771929,0.753329207525846,0.144425997871046,1.44578680696449,0.633045527624654,1.68423084690263,0.630974178310064,0.591659387688888,1.9921005793114,1.97787816725408,0.231171870131579,0.373031927098277,0.68479029920678,0.0294337444406417,1.95854065073457,1.82319192240954,1.75888197461328,1.87410774439679,1.10784823165607,0.12010829512115,0.193173784968244,1.59708995517265,0.444988798186624,0.294722512526842,1.41108780553031,0.0928989977837964,1.98752620683723,0.438483309947488,1.85561903090107,1.53778952503381,1.26177503087982,0.0159658816839728,1.25205931095626,1.97049140085461,0.00689722382731073,1.92803544937335,0.22929090844982
"MEblue2",0.699077734575829,1.49958278640294,1.60010587126263,1.78338439475462,0,1.72881428568298,1.32239193248184,0.588403295677174,0.124583549140293,0.59933817495688,1.43175260844197,1.93762407790252,1.44750137002928,0.173053772951386,1.76479578687925,0.0474881430399551,0.131128726015721,0.779519672110176,1.83053631639647,0.655375798077229,0.807831769372388,1.94925950408928,1.74192487746896,0.985489806353581,1.54283231144131,1.45919780154458,1.90188806474102,0.338242903676336,0.194265751218695,1.4188052244539,0.58134486008354,0.536781638873853,1.15220127040708,0.0677768856611506,1.28312934459993,0.0246396388022653,0.0591679601700955,1.78098860856465,1.53888435520987,1.86023970710697,0.198584438123398,0.131380883964366,1.85758627949196,0.170500407772177,1.25746663650646,0.10577854089528,0.481325403715648,1.39386093911764,1.91510738463071,0.163335585884116,1.59551564898261,1.04277508196995,0.435217289513357,0.515354000536898,1.63755708833062,1.3807517055637,1.06748574816228,0.842608364963863,0.868372243876794,0.743631466609312,1.68880706240553,0.287747421152061,0.263607648444949,1.22157635331619,1.12326824001301,1.74590560271477,1.87824495941044,0.385654626446044,0.680754241253172,0.767483322691523,0.527467540764339,0.306231880174064,1.40159475692077,1.95868262315989,0.904771451143607,1.89808193242561,1.95835316188139,1.17516834901906,1.45729126897294,0.257479802031894,0.925920437668976,0.122827437190104,0.0600554935543428,1.33214639312858,1.6780302555273,0.338255458887625,0.0979479939266056,1.84307854412988,0.432995136435742,1.86667469410719
"MEbrown",1.79195388150759,1.16448273632856,0.0230580415734017,0.0036152492113305,1.72881428568298,0,0.97416549211114,1.83415326535682,1.52867096633175,0.780833485986643,1.1729152755471,0.117074908772681,0.104180078551909,1.97163275989401,0.063115621325193,1.88350048845862,1.40668587772114,1.76385732442386,0.598188786243085,1.85439019010943,1.60659743344107,0.410265258858948,0.841120644116806,1.64494219062407,0.256083070575227,1.05907275068638,0.36076325933812,1.98967580703939,1.99184066812607,0.928991112627382,1.91271869393127,1.68359336568025,1.32723745185503,1.83596815272953,0.196444193508071,1.77696809923212,1.67516892248888,0.470269977275701,0.0534805204946014,0.161307085725118,1.98936920431772,1.72053359539504,0.0991446474574591,1.95784012622537,1.35027750755364,1.94488680115642,1.95481617359155,1.32068744589369,0.178026114727684,1.84878095032027,0.977714401466779,0.31576366365804,1.94224573923186,0.757896478404323,0.824497084160943,0.105027319348985,1.50986453754276,0.56534029177872,1.74144043362491,0.554306359582019,0.653932106208075,1.99791088775838,1.97627435909782,0.179936375733975,0.317983547699974,0.761245160989507,0.051197120333891,1.97641441376881,1.86740306496024,1.80949977265984,1.90513157078734,1.02361089600528,0.0864495303127899,0.244368367153914,1.65367378225116,0.515248857967008,0.3515369655597,1.48353598633054,0.0604741954739456,1.99062577982514,0.371380432942093,1.83134554736225,1.46443182236075,1.33999449984423,0.00550442455529054,1.17933285702785,1.94929317049037,0.0200820611681981,1.9435344302682,0.275032769881462
"MEbrown2",0.431877268105204,0.266193852138521,1.17019891315149,0.923977352966237,1.32239193248184,0.97416549211114,0,0.472569623855877,1.73536613811524,1.82779412659807,0.151691285361914,0.619448147761946,1.40166848785283,1.23117608049058,0.629123484170531,1.33089107621497,1.70344347477315,0.428208062845375,0.224519199202705,0.55435922595551,0.222518987892192,0.423094410145906,0.270709890980117,0.395526966550662,0.381749852339143,0.0706320451836335,0.31553891628707,0.894185048924363,1.09269952293106,1.48895754232589,0.707875536093977,0.343444600978504,0.0810713347063885,1.48006915186611,1.5286445645117,1.45595803405703,1.6072780538586,0.175379541923505,1.28318108500362,0.453995041038018,1.00947030955609,1.66509739243988,0.560343699270138,0.918645275718871,0.174831468642803,1.26759943215005,0.791460395771556,0.597136104155024,0.475972872965,1.52048369149269,0.14921909648228,1.54131352890505,0.692339540850038,1.50318586454718,0.0887981394608756,1.33568533656152,0.219170475790584,1.80881486041465,0.492448494580411,1.61807206841621,0.0920818063169588,1.00646370824022,1.19445653717078,1.36535674849922,1.65740930752494,0.18579369910756,0.712464205623952,0.821302198997519,0.665556451360211,0.562751612324008,0.612224055842691,1.55580409763942,1.03416338859421,0.4812260636466,0.31267435041072,0.318107607169289,0.731724390019497,0.307378048406574,1.19579029158325,0.922604148507418,1.31682708986433,0.850375649461305,1.50015021567252,0.279575608025844,1.07561318650854,1.88533050643251,1.10218387438068,0.832793833580005,1.14293706958874,0.33271458675682
"MEbrown4",0.00799530704182316,0.424863727849827,1.92637040450614,1.80016632676097,0.588403295677174,1.83415326535682,0.472569623855877,0,0.976108569692247,1.66429051352777,0.362894739436867,1.52494415631612,1.98622262878155,0.306328982892327,1.59303830316847,0.44875102200192,1.0691723873531,0.0250400283014176,0.889983473577264,0.0190776707808209,0.0575847300147062,1.15451980774907,0.700893231259971,0.0986575264513275,1.30561647184981,0.421482197999216,1.14767122693531,0.100176371993092,0.213993292501031,1.28567124862481,0.0523847279076087,0.0728940854994108,0.208569517272416,0.568526218723374,1.98214914117515,0.612869919113727,0.78147898271352,0.984124780068643,1.96277959792664,1.40435068236644,0.172166232811359,0.76474796081212,1.51686741160939,0.155456519985186,0.22844001416451,0.355301367647054,0.0662826686340536,0.464411515337739,1.39626697514047,0.569521601943713,0.525604414567696,1.90014758447109,0.0296369333574842,1.52196330896337,0.629414980664474,1.95646382048543,0.121985834118705,1.83010906665137,0.0714369805096227,1.74820248822317,0.781599976028378,0.155584175158202,0.275078090399883,1.91692804146204,1.95243088942051,0.728522829622727,1.63836546229727,0.070229786639538,0.0631264153315717,0.0547758071341111,0.013782682040378,1.32489260047898,1.81321439805391,1.33496624794813,0.0540405154531463,1.00862878471824,1.36773665677034,0.183525873212111,1.91747452268839,0.120810670202116,1.74152213062047,0.237734127016492,0.91659800941322,0.286147264499017,1.88640493592199,1.35404464795764,0.265292001649085,1.73260115284375,0.263815215810588,1.23720864766666
"MEcoral",1.07459394426334,1.72304567863293,1.33722423934533,1.59301879851144,0.124583549140293,1.52867096633175,1.73536613811524,0.976108569692247,0,0.287874162024511,1.7346658041593,1.85659641710563,1.10938911508014,0.292381477199467,1.73036638500581,0.153063524699548,0.0190401701689282,1.13383903682942,1.9799141711174,0.981092661076612,1.25672288046475,1.96081760932371,1.89299554221037,1.29345120277303,1.69480557001937,1.79698287832034,1.98675064141416,0.582682801365965,0.37980087403637,1.04029715197816,0.848375886521014,1.00535398023421,1.57382802771142,0.092551882327319,0.926665504385688,0.07210863439918,0.0195331656280147,1.96913815504303,1.23527180614734,1.88644639407985,0.424604241815505,0.0418020445477603,1.83137935338048,0.451679674981702,1.60106563962765,0.227167596382779,0.736127771394703,1.4732951456106,1.91383937156873,0.134205139132701,1.85382417222035,0.74964317629952,0.755133468822391,0.39564221107167,1.91489489926389,1.0969842004998,1.44168984020857,0.471690892621399,1.16148351391007,0.498742643844773,1.94893001684844,0.489028615928034,0.37230854114279,0.968111791682526,0.747921992756289,1.93947013807429,1.76750073380972,0.653802064098242,0.940117032653559,1.05411202950724,0.860870277385267,0.216483965498427,1.26276620302532,1.93983427484644,1.28056152309472,1.98010751806595,1.8011892761944,1.47332542862016,1.22337864705536,0.511394614164299,0.783010976251443,0.448697466118014,0.0755406676731488,1.59823503495592,1.44078990505162,0.0739532108243608,0.306609151471929,1.68185368902794,0.516703513036199,1.95405098637489
"MEcoral1",1.74189266511048,1.96593768366028,0.579658134437857,0.857536058452044,0.59933817495688,0.780833485986643,1.82779412659807,1.66429051352777,0.287874162024511,0,1.98763429777758,1.2540827052046,0.384265403774378,0.989947715781207,1.06657971738382,0.758183525073019,0.209947506616147,1.78624801726496,1.79391214559029,1.68524256934818,1.79911283445686,1.61549452550286,1.89377001232992,1.87033324771334,1.18789372160094,1.96649547684753,1.60575123290432,1.33902454846476,1.10768817112469,0.980616547495717,1.58016058430799,1.57591892353306,1.93283743686074,0.648514831672219,0.250726360170502,0.576861310856165,0.431923274500117,1.67756994976182,0.487314580207817,1.3266757354688,1.15766788816779,0.493767484395787,1.2116543689013,1.16395624323062,1.98123225972243,0.893473296192642,1.48611830274428,1.80557902100427,1.37105547297688,0.705673859179316,1.96302509155669,0.147181707566402,1.49878577271337,0.1082688815346,1.9078255734237,0.371836952461079,1.93055367709444,0.0327141015225496,1.79835983422808,0.0569704025306764,1.80657547549036,1.23784338316909,1.08501014560666,0.286351521979076,0.145594076520143,1.88234648286017,1.09757409353226,1.40989583264407,1.6478472414875,1.73118519202411,1.58948152653561,0.121880163871172,0.548921774978074,1.45488980969089,1.86423210603038,1.72506939875529,1.38139657242807,1.94349076099852,0.480742070715628,1.258498538613,0.234070328464133,1.05765734811585,0.324148645188565,1.96824236943033,0.684189650335596,0.0833739369565571,0.989643314819194,0.973164488720909,1.22268469803855,1.49845713248156
