"","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow3","MEyellow4","MEyellowgreen"
"MEantiquewhite2",0,1.9115725034272,1.88123640152347,1.08855895416733,1.21143822038761,1.00843655145763,1.02678818484171,0.271673091411295,0.281228831219107,1.46010536107343,0.859515425418378,0.227344265944639,1.43700951848195,1.30497490620588,1.65782286342332,0.3791114585241,1.46937656895807,0.171501320271427,0.357352921130094,0.573387578492779,1.8438393145517,1.5265580212487,1.16548881286141,0.120695241418886,1.78749390869402,1.56687139000464,1.03431775434348,0.173731728919035,0.940485043345839,0.925953945777449,0.994287476709505,1.20395561105263,1.26319383773045,1.83362767853063,0.850671792144642,0.363305648995957,1.73646965780557,0.499146667919106,1.66865368684184,0.703758837419205,0.69667800130231,1.73483553895419,1.45206022879832,0.723586481998597,1.22708979706996,1.95561162122531,1.66002863617531,0.919218429236499,1.25591090242231,1.88689416673367,1.28023097304097,1.13133134491883,1.46764633995106,0.14389070140498,0.0974722991780644,1.39560194863402,1.39815576396164,0.0965138084003754,1.60240868199321,0.28978831615079,0.506452035217657,0.758722976533205,1.8769768283843,1.6587763654634,0.829953314388474,1.26218796330504,0.406973685464716,0.623794806534339,1.64508723350594,0.686273653720196,1.32221018061249,1.1639629669473,1.5905163224628,0.59962481706006,0.850941846424449,0.199521449791301,0.952713642134072,1.87389747813818,0.52783808818377,0.660735748470445,1.82627426521098,1.94734544036195,1.63863174131953,0.0310986313562535,1.57721558514414,1.35900127870085,0.434168856692229,1.98692312725166,0.297168076629612,1.87181715750592,1.10180204047894,0.470846444632676,0.514014273863501,0.761927446318392,0.823743381719432,1.3970621884422,1.75996708278659
"MEantiquewhite4",1.9115725034272,0,0.153317811063044,0.76213065033165,0.97976905298567,0.587130765336879,1.19113985549097,1.88550861115688,1.73568271645725,0.217925400219161,1.1706360891379,1.96169540983639,0.587903448267244,0.641633728378309,0.416181003088916,1.82882259230968,0.317120624618872,1.93209864961016,1.6353303005916,1.6944770410085,0.0380905329381963,0.407911480426197,0.473564667132647,1.98925192812814,0.0289209920843869,0.287610018586655,0.678785247420328,1.54551778854285,0.676416333748529,1.18483441249311,0.756667292939645,0.974634995282206,0.592459619401337,0.266431756549784,0.950688804275771,1.48792213549375,0.264574738596215,1.10635449416176,0.398653003548658,0.953512864777723,1.54436381585089,0.18822839848122,0.630192832772286,1.63150351842057,1.14765515319216,0.0149396402151696,0.153148968335099,0.953548473420405,0.791802990655339,0.294324133524987,0.356006918957985,0.89404853596766,0.252058380306242,1.88923595177337,1.977922408804,0.440752899442736,0.928688308537278,1.83670955962424,0.147540725290157,1.80992797942715,1.54237947693842,1.1206983182532,0.388134238116957,0.0931184380921407,0.948648095680095,0.964009254562278,1.29328085562614,1.35619731025725,0.111220240339982,1.53779028086011,0.39747399238944,0.57802316250601,0.2151527724817,1.34837263083825,1.37276231121363,1.67776794086347,1.39938844860629,0.0223074180079607,1.57554991827371,1.14740436310193,0.130764464027962,0.108085526702415,0.630653502938913,1.88352992872248,0.576453302942746,0.799849948177033,1.84833414213311,0.0823845778922586,1.49188920258865,0.0817287932666927,0.978924390159171,1.40482846322572,1.65009733097978,1.3903869090714,1.09749767771018,0.968038284789275,0.0805859622835754
"MEbisque4",1.88123640152347,0.153317811063044,0,1.30504120857724,0.451356275886949,0.818933218896277,0.639819907449786,1.88647167850431,1.34717780249026,0.461783968266295,1.58628790315383,1.77990755822325,1.02318708248474,0.282069462955565,0.0779936855563916,1.4076852198993,0.233387528228234,1.61062574539725,1.92580745136015,1.21877077606769,0.0875923274454793,0.137052293561206,0.592671635104052,1.77594912142273,0.24105926538415,0.759783719380959,0.571673629857807,1.56686816788274,1.13397239585381,0.655508113000496,1.30808087769213,0.747090936747734,1.12746691724203,0.0195602749907884,0.680611238436072,1.19913850747746,0.031521249798462,1.41662405688511,0.752193069359337,1.43968981989995,1.01667690537842,0.0475568705669399,0.204549345747672,1.44039003998101,0.687283390955844,0.0833217457203269,0.146479446032379,1.47891013510705,0.337076345094083,0.0680737943342939,0.7261330530626,1.34170096275763,0.694637668315539,1.98474743351854,1.91798172113229,0.959925154690613,0.458898757361737,1.9951333249911,0.530828662450708,1.39965555206269,1.07210313501018,1.61949602041863,0.313550306027836,0.386500901835732,1.48747062104459,1.19551211636792,1.70560707627963,0.909058135606062,0.255575498779354,1.66635958036604,0.902190783247231,1.12213509997014,0.664764642117483,1.76902012704973,0.822151886924823,1.96131589902413,0.908750475725793,0.278015537837193,1.82237754854537,1.65088186694049,0.46491353112813,0.299136993710337,0.230698912601664,1.74073302901182,0.15954240856336,0.310688059930823,1.53842551451615,0.057492487385598,1.86323528978442,0.0219759769244156,0.478009372788032,1.8268532905445,1.15277045391857,0.851498233164213,0.693100997809539,0.925146637536259,0.430215186815014
"MEblack",1.08855895416733,0.76213065033165,1.30504120857724,0,1.95278003975728,0.764394940330033,1.97961833089268,0.892980793486169,1.75164367554598,0.703304414594962,0.14766835209379,1.2394057927843,0.123452934194016,1.75539129977965,1.64801822157865,1.7108761211307,1.29778861543687,1.5660726161161,0.408783374125197,1.7901653814698,0.985048695747406,1.58952222484287,0.968911949274513,1.34483023432677,0.695505324646125,0.149382919914356,1.37659139866731,1.09772622056013,0.299649503502788,1.99422776817895,0.0374289456770255,1.36138126704634,0.0166135672513621,1.4542867678653,1.64890222484005,1.6476368790747,1.48053821810839,0.590820847611408,0.267567732655425,0.214614030134995,1.91218388215714,1.33984576407679,1.81392980661449,1.17406971671877,1.71224778250527,0.899288068706098,1.1325251786909,0.0189662666844505,1.88770623657661,1.36763414942297,0.470916572209693,0.0920741809056922,0.282719526951088,0.770994248140866,1.05724584484501,0.0620036118541361,1.76196559766584,0.700804490024379,0.387122253109193,1.74855405552629,1.90212746408212,0.0647345632611382,1.01605731836571,0.566986087112669,0.0434632239830455,0.41265731791254,0.331553635318618,1.89716196608529,0.862264758405978,0.608165759811562,0.155479718639983,0.0607296625166379,0.222631737480863,0.178949455487426,1.97119571296494,0.484684712040334,1.78019540235577,0.565176601383729,0.436974155948207,0.0938009340929703,0.3725924363286,0.605626717573863,1.66011498976138,1.31222354303927,1.75857167894949,1.8957220938812,1.44721290679718,1.0303459769997,0.360932742180894,1.16366185676145,1.95815393227044,0.21433830666382,1.89107557128103,1.98631009752525,1.84908355406018,0.886145987778556,0.40638973261875
"MEblue",1.21143822038761,0.97976905298567,0.451356275886949,1.95278003975728,0,1.27831484056907,0.0230914353316964,1.28597280463301,0.481414467563317,1.1968644381241,1.85116754088029,0.96317127479724,1.71131843152251,0.196208839911917,0.180873372267713,0.465608516824825,0.610040826076466,0.678592756990352,1.74882087937284,0.326197450856994,0.790132308708333,0.293486606087997,1.03061887147604,0.902532997361747,1.09216261509912,1.67289317098453,0.668160935234853,1.17808807477904,1.73999940186977,0.0527456116546692,1.95799122088842,0.554096137553072,1.88639220593467,0.312674468318639,0.447922697540792,0.580288053892958,0.328859685362771,1.58850255717056,1.50079980210479,1.88384938390339,0.178017341275293,0.475317665883297,0.0793539334388677,0.859980272336547,0.19964515518949,0.827355108991206,0.71042246803752,1.97977530581493,0.0693678120918392,0.370226773160768,1.47689488490669,1.82699541475305,1.59211474819792,1.45731923195324,1.18919248430321,1.80814501544105,0.109575605950602,1.55159490880339,1.44993882447686,0.470448386749264,0.268909886004652,1.98021519435401,0.695567946946905,1.26083148786244,1.99500669346142,1.45394042168248,1.84950335622183,0.249765566668343,0.981544261159737,1.43045222735516,1.75550897858831,1.88835506488739,1.60325701823716,1.906337853428,0.0804726891825179,1.73721506149438,0.215430952513787,1.18109549356592,1.65794608097633,1.99056113244984,1.37153933102288,1.09926005645458,0.147396792533783,0.987307717725579,0.0868962958660878,0.0170110374620909,0.691091450120221,0.678712717000097,1.84098059838681,0.600494802140374,0.0412720106242954,1.91918954202748,0.261156706595526,0.101187189143615,0.245769259062811,0.942832289792858,1.37405394005879
"MEblue2",1.00843655145763,0.587130765336879,0.818933218896277,0.764394940330033,1.27831484056907,0,1.38841958482184,1.60565749010709,1.09649334864455,0.109871692935476,1.25847364790366,1.6395468138769,1.10478958385585,0.659943758280914,0.917729552786744,1.57033928971479,0.284850790856939,1.37805942394463,1.24325970922938,1.66252682838035,0.489705438821113,0.601838768629737,0.0383620548017171,1.44579825289441,0.384836219932567,0.629879512620203,0.192034044888841,0.470716712419457,0.150117238444664,1.13557005102875,0.524875597149669,1.35861280135407,0.730959987330739,0.97391101349079,0.417880262332479,0.668211351137496,0.739297918593079,0.181879349799141,1.13244434653066,0.326691733348249,1.54180579816341,0.562720403527623,0.962073988417292,1.95525775511267,1.78815681293401,0.704868589623203,0.333979127494799,0.860121958442844,0.909448676047534,1.18372268155927,0.0857752534042469,1.18844382599961,0.285635996481954,1.33902699979907,1.41156659049279,0.640512617526885,1.61435294524023,1.10604209379212,0.311815846027535,1.30751011769201,1.09663828352836,0.909976962803173,1.4636626438262,0.27273530390763,0.636000589075879,1.61881108017547,0.492192073974343,0.891498168713468,0.237323098371697,1.72373659050603,0.343119476772613,0.455808921214143,0.485737439153809,1.10664899452773,1.44843378366113,0.972901070081308,1.786866546361,0.590590685099812,1.48050782585809,0.745828163462571,0.791075551610249,0.975080333528893,1.42311754243453,0.970967507806407,1.12395187319493,1.16815049515856,1.7938283920741,0.929363597478463,0.742259575996819,0.637069037228039,1.0206626846494,0.946873921066021,1.39314482195482,1.28457543791109,0.699808262460465,1.86170361810114,0.502303501282793
"MEbrown",1.02678818484171,1.19113985549097,0.639819907449786,1.97961833089268,0.0230914353316964,1.38841958482184,0,1.0808949549249,0.349384818219196,1.37734522852802,1.78244269492309,0.751930829334596,1.76665672760166,0.302894381485011,0.322235125221124,0.297691494541401,0.782011495700542,0.491751487263017,1.59280271113334,0.18525557940038,1.00362342514442,0.445041495463386,1.16833459496063,0.694722764392842,1.30226993208047,1.80583817700973,0.771216761518457,1.08564556415819,1.81316598405826,0.0396066740797538,1.99497899186365,0.551779289787243,1.94960626760937,0.477195421410991,0.496052879557407,0.509822235463508,0.502159989618567,1.58124146720688,1.59815610316762,1.89211971040169,0.0753478792872074,0.66600515361033,0.180254171343627,0.703867209515562,0.164516760104801,1.03581924388634,0.909594263292634,1.96481125780312,0.140974664766676,0.520134111975749,1.62302438863843,1.8153935045114,1.74748410584403,1.25696619847557,0.976227866882723,1.90684872693896,0.126329047646166,1.36738185410743,1.62910406782366,0.316212103551265,0.180989022987394,1.93056461907067,0.805934621809181,1.45757199230661,1.98913225269974,1.42332028686068,1.7858918730531,0.206576017363653,1.18453947963956,1.28421166850711,1.87543191593855,1.96482605728471,1.75808300835943,1.8068519652057,0.0179439896239466,1.58355668780708,0.130497971789428,1.38191738131625,1.50732299014185,1.94173563404076,1.5382816366341,1.27122059336691,0.22872790113865,0.816029401545849,0.191978106443439,0.0788612961353011,0.50378139423369,0.869805229482444,1.72960473108771,0.805281921676791,0.0729865367219562,1.81439713807248,0.141122411007254,0.0407891810224231,0.260015718697329,0.917417825046786,1.56135621386158
"MEbrown2",0.271673091411295,1.88550861115688,1.88647167850431,0.892980793486169,1.28597280463301,1.60565749010709,1.0808949549249,0,0.642435798113,1.85071485783293,0.433864765905884,0.062110672595318,0.966811541528891,1.71007204222051,1.76457819389759,0.379200548005494,1.93640728596656,0.308024465525715,0.151737755469192,0.48983838724352,1.97658293538462,1.86041178630061,1.76138443018781,0.145492791863775,1.90788924727911,1.39371688997915,1.69781906956337,0.764693120765732,1.29773122027027,1.18163382662688,0.998380187928992,0.970321156788299,1.05253237222418,1.79411842570156,1.498339396793,0.959330192659124,1.88902249488705,1.04301637152174,1.16884833717107,0.973254094934888,0.70465424506895,1.9621081942322,1.63472417198835,0.195582802448767,0.870655220079865,1.88375080144877,1.99187893189553,0.707053777559993,1.54714164319996,1.66745726707055,1.65479124978109,0.665091873811016,1.59719805261994,0.0482438060539503,0.0546328325507269,1.22947359782737,1.13251544560609,0.146140145996301,1.71670069546316,0.504294046903059,0.861998122076096,0.566527500532505,1.3454473178451,1.84394389088997,0.80090067738444,0.57675846705832,0.674233878822038,1.08807301636214,1.95688221513076,0.13476061681246,1.40646093231958,1.17979455559783,1.53529155400763,0.350315217539414,0.905228489089576,0.242109772661628,0.685766918902588,1.78886084166605,0.12840271188328,0.614920172082386,1.55629972134278,1.59696101094293,1.41147273835169,0.393001781817173,1.6010865478757,1.45237208676633,0.178019065980526,1.79757142862093,0.433813934534034,1.95487824739087,1.3793996671129,0.37402185163723,0.662241192140213,0.954291015997484,1.34854162064553,0.670413902824102,1.71257875360054
"MEbrown4",0.281228831219107,1.73568271645725,1.34717780249026,1.75164367554598,0.481414467563317,1.09649334864455,0.349384818219196,0.642435798113,0,1.44492089622719,1.53367565298102,0.370429865517043,1.9190226575591,0.635997228790255,0.963643817770602,0.128868072055427,1.04111231735054,0.0818982676766317,1.01650211151109,0.207225910080172,1.52569788895871,0.894874612061783,1.0554263496582,0.209569736979683,1.68640721568699,1.94897917615613,0.692170120068334,0.345728912604882,1.39407560242501,0.25353633602813,1.64527765688927,0.883607713176058,1.85187988192017,1.22118850742238,0.395504644909573,0.0948899795994382,1.12081618907798,0.900190438344462,1.97010944266121,1.31329642963667,0.191931418353753,1.20684542086715,0.713808729429477,0.765442118564275,0.701426057114069,1.67572883928533,1.28777618111044,1.63433550443278,0.528428695562288,1.33536901534329,1.49055454556637,1.74553897335916,1.76269149638277,0.626388449036817,0.396096728689395,1.8998703311294,0.764609458603212,0.627041197695028,1.77923715405623,0.0238149666042355,0.0408008251833156,1.49979897448596,1.59785957585906,1.68469845523728,1.54144411071813,1.63558104241308,1.04707228500425,0.10577060503371,1.46315473591424,1.12555099096477,1.7621966024749,1.73450389696943,1.901897205305,1.32872286499885,0.244585012997306,0.838352778744955,0.472206435995249,1.85126442050217,1.12646924846499,1.4026135184655,1.97355380428512,1.90014502075021,0.981111452578718,0.138898172379503,0.847891781356999,0.61034563074233,0.368642790708884,1.61978209800431,0.973908052014688,1.42743887075124,0.385696230272995,1.20692716168556,0.0760904542885998,0.162813192130387,0.255209055507264,1.4054887084434,1.88356231491341
"MEcoral",1.46010536107343,0.217925400219161,0.461783968266295,0.703304414594962,1.1968644381241,0.109871692935476,1.37734522852802,1.85071485783293,1.44492089622719,0,1.24538704522355,1.91767022934468,0.850828912450225,0.604297864521092,0.665883340123165,1.81317397116759,0.179389885136038,1.73072964199399,1.47060769341629,1.81060119738686,0.174515338516187,0.445632401120249,0.0835360899075789,1.80151387353393,0.0933577178625634,0.378728502717662,0.297197966765746,0.912550979774393,0.247987492666036,1.20227245326641,0.538134102042559,1.23990028536218,0.596574555133185,0.626190514702061,0.590889294541924,1.02835381461765,0.466007897225071,0.488277446393034,0.778362539901931,0.504231257054374,1.65615202388698,0.305300002007811,0.805423724624395,1.96778190677761,1.6233005588032,0.308165846407432,0.128336269304364,0.863925157165434,0.851195589170738,0.781154733503014,0.0480958422718383,1.05951436783087,0.12908640431485,1.66853827905497,1.76742999002801,0.460423126121108,1.39700513559191,1.48261737662534,0.0968151874566009,1.62550775145912,1.35166380255708,0.981816626951759,1.01253037890438,0.0465358539775317,0.709274384058797,1.39347154857779,0.787869547801731,1.11939965115293,0.0367024878658323,1.75336439073782,0.238170507458913,0.402823054136723,0.245868429684744,1.23094901531502,1.50828162037102,1.30895817232749,1.74864795517001,0.227753326506412,1.60305035973778,0.883750652648031,0.414431168387476,0.532935341565932,1.11673469534821,1.42501473453547,0.887890026793102,1.03145498237811,1.97045347448956,0.496970043710895,1.05723076475139,0.299870089904884,1.02114729623633,1.15081012471525,1.60690839126686,1.40573262998048,0.859780963669483,1.56936833849352,0.193603796202071
