userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000001020	S100a4	S100 calcium binding protein A4	20198	https://www.ncbi.nlm.nih.gov/gene/?term=20198
ENSMUSG00000001039	B9d1	B9 protein domain 1	27078	https://www.ncbi.nlm.nih.gov/gene/?term=27078
ENSMUSG00000001300	Efnb2	ephrin B2	13642	https://www.ncbi.nlm.nih.gov/gene/?term=13642
ENSMUSG00000001627	Ifrd1	interferon-related developmental regulator 1	15982	https://www.ncbi.nlm.nih.gov/gene/?term=15982
ENSMUSG00000001773	Folh1	folate hydrolase 1	53320	https://www.ncbi.nlm.nih.gov/gene/?term=53320
ENSMUSG00000002733	Plekha3	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3	83435	https://www.ncbi.nlm.nih.gov/gene/?term=83435
ENSMUSG00000003135	Cnot11	CCR4-NOT transcription complex, subunit 11	52846	https://www.ncbi.nlm.nih.gov/gene/?term=52846
ENSMUSG00000003778	Brd8	bromodomain containing 8	78656	https://www.ncbi.nlm.nih.gov/gene/?term=78656
ENSMUSG00000004631	Sgce	sarcoglycan, epsilon	20392	https://www.ncbi.nlm.nih.gov/gene/?term=20392
ENSMUSG00000005362	Crbn	cereblon	58799	https://www.ncbi.nlm.nih.gov/gene/?term=58799
ENSMUSG00000006304	Arpc2	actin related protein 2/3 complex, subunit 2	76709	https://www.ncbi.nlm.nih.gov/gene/?term=76709
ENSMUSG00000006673	Qrich1	glutamine-rich 1	69232	https://www.ncbi.nlm.nih.gov/gene/?term=69232
ENSMUSG00000007411	Mark3	MAP/microtubule affinity regulating kinase 3	17169	https://www.ncbi.nlm.nih.gov/gene/?term=17169
ENSMUSG00000012429	Mplkip	M-phase specific PLK1 intereacting protein	66308	https://www.ncbi.nlm.nih.gov/gene/?term=66308
ENSMUSG00000015748	Prpf3	pre-mRNA processing factor 3	70767	https://www.ncbi.nlm.nih.gov/gene/?term=70767
ENSMUSG00000016520	Lnx2	ligand of numb-protein X 2	140887	https://www.ncbi.nlm.nih.gov/gene/?term=140887
ENSMUSG00000018427	Ypel2	yippee like 2	77864	https://www.ncbi.nlm.nih.gov/gene/?term=77864
ENSMUSG00000020176	Grb10	growth factor receptor bound protein 10	14783	https://www.ncbi.nlm.nih.gov/gene/?term=14783
ENSMUSG00000020246	Hcfc2	host cell factor C2	67933	https://www.ncbi.nlm.nih.gov/gene/?term=67933
ENSMUSG00000020409	Slu7	SLU7 splicing factor homolog (S. cerevisiae)	193116	https://www.ncbi.nlm.nih.gov/gene/?term=193116
ENSMUSG00000020572	Nampt	nicotinamide phosphoribosyltransferase	59027	https://www.ncbi.nlm.nih.gov/gene/?term=59027
ENSMUSG00000020648	Dus4l	dihydrouridine synthase 4-like (S. cerevisiae)	71916	https://www.ncbi.nlm.nih.gov/gene/?term=71916
ENSMUSG00000020846	Rflnb	refilin B	76566	https://www.ncbi.nlm.nih.gov/gene/?term=76566
ENSMUSG00000021012	Zc3h14	zinc finger CCCH type containing 14	75553	https://www.ncbi.nlm.nih.gov/gene/?term=75553
ENSMUSG00000021013	Ttc8	tetratricopeptide repeat domain 8	76260	https://www.ncbi.nlm.nih.gov/gene/?term=76260
ENSMUSG00000021120	Pigh	phosphatidylinositol glycan anchor biosynthesis, class H	110417	https://www.ncbi.nlm.nih.gov/gene/?term=110417
ENSMUSG00000021302	Ggps1	geranylgeranyl diphosphate synthase 1	14593	https://www.ncbi.nlm.nih.gov/gene/?term=14593
ENSMUSG00000021360	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	14538	https://www.ncbi.nlm.nih.gov/gene/?term=14538
ENSMUSG00000022000	Zc3h13	zinc finger CCCH type containing 13	67302	https://www.ncbi.nlm.nih.gov/gene/?term=67302
ENSMUSG00000022668	Gtpbp8	GTP-binding protein 8 (putative)	66067	https://www.ncbi.nlm.nih.gov/gene/?term=66067
ENSMUSG00000022793	B4galt4	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4	56375	https://www.ncbi.nlm.nih.gov/gene/?term=56375
