userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000000552	Zfp385a	zinc finger protein 385A	29813	https://www.ncbi.nlm.nih.gov/gene/?term=29813
ENSMUSG00000000915	Hip1r	huntingtin interacting protein 1 related	29816	https://www.ncbi.nlm.nih.gov/gene/?term=29816
ENSMUSG00000002031	Ift46	intraflagellar transport 46	76568	https://www.ncbi.nlm.nih.gov/gene/?term=76568
ENSMUSG00000002319	Ipo4	importin 4	75751	https://www.ncbi.nlm.nih.gov/gene/?term=75751
ENSMUSG00000002489	Tiam1	T cell lymphoma invasion and metastasis 1	21844	https://www.ncbi.nlm.nih.gov/gene/?term=21844
ENSMUSG00000004565	Pnpla6	patatin-like phospholipase domain containing 6	50767	https://www.ncbi.nlm.nih.gov/gene/?term=50767
ENSMUSG00000006342	Susd2	sushi domain containing 2	71733	https://www.ncbi.nlm.nih.gov/gene/?term=71733
ENSMUSG00000006732	Mettl1	methyltransferase like 1	17299	https://www.ncbi.nlm.nih.gov/gene/?term=17299
ENSMUSG00000011832	Evi5l	ecotropic viral integration site 5 like	213027	https://www.ncbi.nlm.nih.gov/gene/?term=213027
ENSMUSG00000015335	Zdhhc12	zinc finger, DHHC domain containing 12	66220	https://www.ncbi.nlm.nih.gov/gene/?term=66220
ENSMUSG00000017400	Stac2	SH3 and cysteine rich domain 2	217154	https://www.ncbi.nlm.nih.gov/gene/?term=217154
ENSMUSG00000017740	Slc12a5	solute carrier family 12, member 5	57138	https://www.ncbi.nlm.nih.gov/gene/?term=57138
ENSMUSG00000018001	Cyth3	cytohesin 3	19159	https://www.ncbi.nlm.nih.gov/gene/?term=19159
ENSMUSG00000018401	Mtmr4	myotubularin related protein 4	170749	https://www.ncbi.nlm.nih.gov/gene/?term=170749
ENSMUSG00000020284	1810043G02Rik	RIKEN cDNA 1810043G02 gene	67884	https://www.ncbi.nlm.nih.gov/gene/?term=67884
ENSMUSG00000022814	Umps	uridine monophosphate synthetase	22247	https://www.ncbi.nlm.nih.gov/gene/?term=22247
